,datetime,price,signal,action,position,equity,drawdown
0,2023-01-02 06:00:00,1882.1848430264836,0,Aguardando momentum,0,100000.0,0.0
1,2023-01-02 07:00:00,1865.5244624902273,0,Aguardando momentum,0,100000.0,0.0
2,2023-01-02 08:00:00,1879.1673400137058,0,Aguardando momentum,0,100000.0,0.0
3,2023-01-02 09:00:00,1878.8955003841202,0,Aguardando momentum,0,100000.0,0.0
4,2023-01-02 10:00:00,1881.7546033997673,0,Aguardando momentum,0,100000.0,0.0
5,2023-01-02 11:00:00,1870.3718258842875,0,Aguardando momentum,0,100000.0,0.0
6,2023-01-02 12:00:00,1874.789023474495,0,Aguardando momentum,0,100000.0,0.0
7,2023-01-02 13:00:00,1866.866792193168,-1,SHORT: 1866.87 | Stop: 1920.30 | Target: 1792.19,-1,100000.0,0.0
8,2023-01-02 14:00:00,1863.2975843314991,-1,Posição mantida,-1,100057.35612004982,0.05735612004982249
9,2023-01-02 15:00:00,1873.2769995571548,-1,Posição mantida,-1,99896.98985395006,-0.16027433895750368
10,2023-01-02 16:00:00,1845.9720498155393,-1,Posição mantida,-1,100335.77236145084,0.27825664418613466
11,2023-01-02 17:00:00,1823.6118471506559,-1,Posição mantida,-1,100695.09423848656,0.3581194110324822
12,2023-01-02 18:00:00,1805.3028294253158,-1,Posição mantida,-1,100989.31476565922,0.29218953455252084
13,2023-01-02 19:00:00,1781.7750374900638,-1,SHORT: 1781.78 | Stop: 1844.15 | Target: 1710.50,-1,100000.0,-0.9796232086086293
14,2023-01-02 20:00:00,1765.9112009429168,-1,Posição mantida,-1,100267.10167467876,-0.7151381239256003
15,2023-01-02 21:00:00,1762.878871720892,-1,Posição mantida,-1,100318.15743354094,-0.6645825191265713
16,2023-01-02 22:00:00,1757.7181697346589,-1,Posição mantida,-1,100405.04890767737,-0.578542254037086
17,2023-01-02 23:00:00,1768.483592898112,-1,Posição mantida,-1,100223.78994506526,-0.758025561783759
18,2023-01-03 00:00:00,1782.8992415542264,-1,Posição mantida,-1,99981.07161610459,-0.9983661656623896
19,2023-01-03 01:00:00,1808.1848624203103,-1,Posição mantida,-1,99555.33401734964,-1.4199331400921589
20,2023-01-03 02:00:00,1825.7140033574206,-1,Posição mantida,-1,99260.19337554669,-1.7121825156699715
21,2023-01-03 03:00:00,1803.726494198229,-1,Posição mantida,-1,99630.40019789893,-1.3456023252693503
22,2023-01-03 04:00:00,1789.0814804790025,-1,Posição mantida,-1,99876.98037908482,-1.1014377007661784
23,2023-01-03 05:00:00,1767.3258499931812,-1,Posição mantida,-1,100243.28302719803,-0.7387234384076322
24,2023-01-03 06:00:00,1762.892866154353,-1,Posição mantida,-1,100317.9218072722,-0.6648158371456961
25,2023-01-03 07:00:00,1777.0106005740101,-1,Posição mantida,-1,100080.21950272856,-0.9001895547466254
